"","Monogram","Frequency","PRED"
"584","page",15,"page"
"585","eventually",15,"eventually"
"586","giving",15,"giving"
"587","history",15,"history"
"588","director",15,"director"
"589","order",15,"order"
"590","myself",15,"myself"
"591","baby",15,"baby"
"592","yourself",15,"yourself"
"593","fit",15,"fit"
"594","form",15,"form"
"595","sweet",15,"sweet"
"596","writing",15,"writing"
"597","likely",15,"likely"
"598","across",15,"across"
"599","true",15,"true"
"600","miss",15,"miss"
"601","feeling",15,"feeling"
"602","o",15,"o"
"603","helped",15,"helped"
"604","idea",15,"idea"
"605","news",15,"news"
"606","watching",15,"watching"
"607","meet",15,"meet"
"608","available",15,"available"
"609","hours",15,"hours"
"610","ok",15,"ok"
"611","forward",15,"forward"
"612","political",15,"political"
"613","died",15,"died"
"614","amazing",15,"amazing"
"615","issues",15,"issues"
"616","cost",15,"cost"
"617","played",15,"played"
"618","either",15,"either"
"619","late",15,"late"
"620","hall",15,"hall"
"621","process",15,"process"
"622","report",15,"report"
"623","player",15,"player"
"624","court",15,"court"
"625","low",15,"low"
"626","sun",14,"sun"
"627","yesterday",14,"yesterday"
"628","moved",14,"moved"
"629","husband",14,"husband"
"630","natural",14,"natural"
"631","sense",14,"sense"
"632","foot",14,"foot"
"633","seeing",14,"seeing"
"634","interview",14,"interview"
"635","pieces",14,"pieces"
"636","david",14,"david"
"637","reports",14,"reports"
"638","star",14,"star"
"639","similar",14,"similar"
"640","schools",14,"schools"
"641","dinner",14,"dinner"
"642","fact",14,"fact"
"643","ground",14,"ground"
"644","spend",14,"spend"
"645","strong",14,"strong"
"646","theyre",14,"theyre"
"647","looks",14,"looks"
"648","whats",14,"whats"
"649","jobs",14,"jobs"
"650","tax",14,"tax"
"651","felt",14,"felt"
"652","sorry",14,"sorry"
"653","financial",14,"financial"
"654","fire",14,"fire"
"655","prices",14,"prices"
"656","send",14,"send"
"657","finished",14,"finished"
"658","watch",14,"watch"
"659","involved",14,"involved"
"660","questions",14,"questions"
"661","bar",14,"bar"
"662","beer",14,"beer"
"663","review",14,"review"
"664","services",14,"services"
"665","nice",14,"nice"
"666","shot",14,"shot"
"667","statement",14,"statement"
"668","offer",14,"offer"
"669","wow",14,"wow"
"670","led",14,"led"
"671","kept",14,"kept"
"672","league",14,"league"
"673","tuesday",14,"tuesday"
"674","cut",13,"cut"
"675","market",13,"market"
"676","letter",13,"letter"
"677","gone",13,"gone"
"678","itself",13,"itself"
"679","upon",13,"upon"
"680","relationp",13,"relationp"
"681","bought",13,"bought"
"682","interesting",13,"interesting"
"683","cause",13,"cause"
"684","addition",13,"addition"
"685","mark",13,"mark"
"686","boy",13,"boy"
"687","beginning",13,"beginning"
"688","health",13,"health"
"689","per",13,"per"
"690","generally",13,"generally"
"691","term",13,"term"
"692","christmas",13,"christmas"
"693","hurt",13,"hurt"
"694","ahead",13,"ahead"
"695","body",13,"body"
"696","throughout",13,"throughout"
"697","birthday",13,"birthday"
"698","passed",13,"passed"
"699","legal",13,"legal"
"700","nearly",13,"nearly"
"701","hair",13,"hair"
"702","problem",13,"problem"
"703","website",13,"website"
"704","guess",13,"guess"
"705","definitely",13,"definitely"
"706","isnt",13,"isnt"
"707","completely",13,"completely"
"708","agree",13,"agree"
"709","son",13,"son"
"710","gonna",13,"gonna"
"711","project",13,"project"
"712","met",13,"met"
"713","traffic",13,"traffic"
"714","development",13,"development"
"715","action",13,"action"
"716","expect",13,"expect"
"717","stay",13,"stay"
"718","character",13,"character"
"719","education",13,"education"
"720","potential",13,"potential"
"721","training",13,"training"
"722","www",13,"www"
"723","cool",13,"cool"
"724","video",13,"video"
"725","san",13,"san"
"726","level",13,"level"
"727","wangton",13,"wangton"
"728","needed",13,"needed"
"729","sign",13,"sign"
"730","hold",13,"hold"
"731","senior",13,"senior"
"732","certainly",12,"certainly"
"733","voice",12,"voice"
"734","weve",12,"weve"
"735","began",12,"began"
"736","asking",12,"asking"
"737","takes",12,"takes"
"738","ball",12,"ball"
"739","crime",12,"crime"
"740","excited",12,"excited"
"741","sad",12,"sad"
"742","note",12,"note"
"743","buy",12,"buy"
"744","youll",12,"youll"
"745","provide",12,"provide"
"746","le",12,"le"
"747","below",12,"below"
"748","details",12,"details"
"749","earth",12,"earth"
"750","daily",12,"daily"
"751","comment",12,"comment"
"752","fine",12,"fine"
"753","hot",12,"hot"
"754","extra",12,"extra"
"755","wants",12,"wants"
"756","trip",12,"trip"
"757","hate",12,"hate"
"758","g",12,"g"
"759","address",12,"address"
"760","continue",12,"continue"
"761","attention",12,"attention"
"762","tour",12,"tour"
"763","step",12,"step"
"764","received",12,"received"
"765","tried",12,"tried"
"766","main",12,"main"
"767","wife",12,"wife"
"768","held",12,"held"
"769","lets",12,"lets"
"770","followed",12,"followed"
"771","practice",12,"practice"
"772","stock",12,"stock"
"773","drive",12,"drive"
"774","town",12,"town"
"775","tv",12,"tv"
"776","april",12,"april"
"777","yeah",12,"yeah"
"778","loss",12,"loss"
"779","fast",12,"fast"
"780","united",12,"united"
"781","color",12,"color"
"782","terms",12,"terms"
"783","fans",12,"fans"
"784","annual",12,"annual"
"785","watched",12,"watched"
"786","dead",12,"dead"
"787","song",12,"song"
"788","oregon",12,"oregon"
"789","round",12,"round"
"790","served",12,"served"
"791","football",12,"football"
"792","return",12,"return"
"793","bank",12,"bank"
"794","district",12,"district"
"795","reason",11,"reason"
"796","pages",11,"pages"
"797","lives",11,"lives"
"798","leaving",11,"leaving"
"799","happen",11,"happen"
"800","bottom",11,"bottom"
"801","knows",11,"knows"
"802","doesn",11,"doesn"
"803","type",11,"type"
"804","loved",11,"loved"
"805","manager",11,"manager"
"806","pre",11,"pre"
"807","includes",11,"includes"
"808","club",11,"club"
"809","position",11,"position"
"810","spot",11,"spot"
"811","remember",11,"remember"
"812","country",11,"country"
"813","positive",11,"positive"
"814","kinds",11,"kinds"
"815","dress",11,"dress"
"816","value",11,"value"
"817","final",11,"final"
"818","certain",11,"certain"
"819","countries",11,"countries"
"820","exactly",11,"exactly"
"821","paid",11,"paid"
"822","build",11,"build"
"823","internet",11,"internet"
"824","necessary",11,"necessary"
"825","wrote",11,"wrote"
"826","fourth",11,"fourth"
"827","garden",11,"garden"
"828","church",11,"church"
"829","trust",11,"trust"
"830","minute",11,"minute"
"831","quality",11,"quality"
"832","eye",11,"eye"
"833","mike",11,"mike"
"834","chief",11,"chief"
"835","travel",11,"travel"
"836","places",11,"places"
"837","album",11,"album"
"838","hoping",11,"hoping"
"839","caught",11,"caught"
"840","pick",11,"pick"
"841","stuff",11,"stuff"
"842","helps",11,"helps"
"843","speaking",11,"speaking"
"844","sent",11,"sent"
"845","clean",11,"clean"
"846","fresh",11,"fresh"
"847","property",11,"property"
"848","adding",11,"adding"
"849","ryan",11,"ryan"
"850","consider",11,"consider"
"851","southern",11,"southern"
"852","single",11,"single"
"853","written",11,"written"
"854","choice",11,"choice"
"855","stupid",11,"stupid"
"856","price",11,"price"
"857","tweet",11,"tweet"
"858","spring",11,"spring"
"859","press",11,"press"
"860","offered",11,"offered"
"861","mid",11,"mid"
"862","weather",11,"weather"
"863","cover",11,"cover"
"864","study",11,"study"
"865","goal",11,"goal"
"866","join",11,"join"
"867","challenge",11,"challenge"
"868","voters",11,"voters"
"869","special",11,"special"
"870","previous",11,"previous"
"871","included",11,"included"
"872","de",11,"de"
"873","dr",11,"dr"
"874","okay",11,"okay"
"875","broken",11,"broken"
"876","related",11,"related"
"877","sex",11,"sex"
"878","period",11,"period"
"879","committee",11,"committee"
"880","words",11,"words"
"881","biggest",11,"biggest"
"882","named",11,"named"
"883","plays",11,"plays"
"884","score",11,"score"
"885","schedule",11,"schedule"
"886","billion",11,"billion"
"887","talked",10,"talked"
"888","answer",10,"answer"
"889","learned",10,"learned"
"890","web",10,"web"
"891","learning",10,"learning"
"892","imagine",10,"imagine"
"893","article",10,"article"
"894","ran",10,"ran"
"895","perhaps",10,"perhaps"
"896","alone",10,"alone"
"897","artist",10,"artist"
"898","residents",10,"residents"
"899","corner",10,"corner"
"900","due",10,"due"
"901","bringing",10,"bringing"
"902","student",10,"student"
"903","research",10,"research"
"904","picture",10,"picture"
"905","earned",10,"earned"
"906","meaning",10,"meaning"
"907","modern",10,"modern"
"908","economic",10,"economic"
"909","funny",10,"funny"
"910","filled",10,"filled"
"911","otherwise",10,"otherwise"
"912","handle",10,"handle"
"913","french",10,"french"
"914","sort",10,"sort"
"915","current",10,"current"
"916","produce",10,"produce"
"917","pictures",10,"pictures"
"918","gift",10,"gift"
"919","decision",10,"decision"
"920","common",10,"common"
"921","air",10,"air"
"922","despite",10,"despite"
"923","projects",10,"projects"
"924","loving",10,"loving"
"925","hour",10,"hour"
"926","mountain",10,"mountain"
"927","longer",10,"longer"
"928","record",10,"record"
"929","brought",10,"brought"
"930","earlier",10,"earlier"
"931","situation",10,"situation"
"932","americans",10,"americans"
"933","slowly",10,"slowly"
"934","average",10,"average"
"935","comments",10,"comments"
"936","middle",10,"middle"
"937","california",10,"california"
"938","winning",10,"winning"
"939","economy",10,"economy"
"940","approach",10,"approach"
"941","welcome",10,"welcome"
"942","election",10,"election"
"943","island",10,"island"
"944","difficult",10,"difficult"
"945","boys",10,"boys"
"946","design",10,"design"
"947","light",10,"light"
"948","complete",10,"complete"
"949","hasnt",10,"hasnt"
"950","control",10,"control"
"951","military",10,"military"
"952","beauty",10,"beauty"
"953","camera",10,"camera"
"954","cannot",10,"cannot"
"955","ones",10,"ones"
"956","blue",10,"blue"
"957","safe",10,"safe"
"958","response",10,"response"
"959","girls",10,"girls"
"960","role",10,"role"
"961","bill",10,"bill"
"962","paul",10,"paul"
"963","mr",10,"mr"
"964","father",10,"father"
"965","figure",10,"figure"
"966","union",10,"union"
"967","k",10,"k"
"968","remain",10,"remain"
"969","org",10,"org"
"970","sleep",10,"sleep"
"971","member",10,"member"
"972","released",10,"released"
"973","portland",10,"portland"
"974","hospital",10,"hospital"
"975","budget",10,"budget"
"976","rock",10,"rock"
"977","appeared",10,"appeared"
"978","judge",10,"judge"
"979","quarter",10,"quarter"
"980","shooting",10,"shooting"
"981","official",10,"official"
"982","republican",10,"republican"
